ref,footprint,x_mm,y_mm,rotation,layer
LED140,LED_APA-102-2020-256-8:APA102_5050,220.0,160.0,0.0,F.Cu
LED141,LED_APA-102-2020-256-8:APA102_5050,240.0,160.0,0.0,F.Cu
LED142,LED_APA-102-2020-256-8:APA102_5050,260.0,160.0,0.0,F.Cu
LED143,LED_APA-102-2020-256-8:APA102_5050,280.0,160.0,0.0,F.Cu
LED144,LED_APA-102-2020-256-8:APA102_5050,300.0,160.0,0.0,F.Cu
LED145,LED_APA-102-2020-256-8:APA102_5050,0.0,180.0,0.0,F.Cu
LED146,LED_APA-102-2020-256-8:APA102_5050,20.0,180.0,0.0,F.Cu
LED147,LED_APA-102-2020-256-8:APA102_5050,40.0,180.0,0.0,F.Cu
LED148,LED_APA-102-2020-256-8:APA102_5050,60.0,180.0,0.0,F.Cu
LED149,LED_APA-102-2020-256-8:APA102_5050,80.0,180.0,0.0,F.Cu
LED150,LED_APA-102-2020-256-8:APA102_5050,100.0,180.0,0.0,F.Cu
LED151,LED_APA-102-2020-256-8:APA102_5050,120.0,180.0,0.0,F.Cu
LED152,LED_APA-102-2020-256-8:APA102_5050,140.0,180.0,0.0,F.Cu
LED153,LED_APA-102-2020-256-8:APA102_5050,160.0,180.0,0.0,F.Cu
LED154,LED_APA-102-2020-256-8:APA102_5050,180.0,180.0,0.0,F.Cu
LED155,LED_APA-102-2020-256-8:APA102_5050,200.0,180.0,0.0,F.Cu
LED156,LED_APA-102-2020-256-8:APA102_5050,220.0,180.0,0.0,F.Cu
LED157,LED_APA-102-2020-256-8:APA102_5050,240.0,180.0,0.0,F.Cu
LED158,LED_APA-102-2020-256-8:APA102_5050,260.0,180.0,0.0,F.Cu
LED159,LED_APA-102-2020-256-8:APA102_5050,280.0,180.0,0.0,F.Cu
LED160,LED_APA-102-2020-256-8:APA102_5050,300.0,180.0,0.0,F.Cu
LED161,LED_APA-102-2020-256-8:APA102_5050,0.0,200.0,0.0,F.Cu
LED162,LED_APA-102-2020-256-8:APA102_5050,20.0,200.0,0.0,F.Cu
LED163,LED_APA-102-2020-256-8:APA102_5050,40.0,200.0,0.0,F.Cu
LED164,LED_APA-102-2020-256-8:APA102_5050,60.0,200.0,0.0,F.Cu
LED165,LED_APA-102-2020-256-8:APA102_5050,80.0,200.0,0.0,F.Cu
LED166,LED_APA-102-2020-256-8:APA102_5050,100.0,200.0,0.0,F.Cu
LED167,LED_APA-102-2020-256-8:APA102_5050,120.0,200.0,0.0,F.Cu
LED168,LED_APA-102-2020-256-8:APA102_5050,140.0,200.0,0.0,F.Cu
LED169,LED_APA-102-2020-256-8:APA102_5050,160.0,200.0,0.0,F.Cu
LED170,LED_APA-102-2020-256-8:APA102_5050,180.0,200.0,0.0,F.Cu
LED171,LED_APA-102-2020-256-8:APA102_5050,200.0,200.0,0.0,F.Cu
LED172,LED_APA-102-2020-256-8:APA102_5050,220.0,200.0,0.0,F.Cu
LED173,LED_APA-102-2020-256-8:APA102_5050,240.0,200.0,0.0,F.Cu
LED174,LED_APA-102-2020-256-8:APA102_5050,260.0,200.0,0.0,F.Cu
LED175,LED_APA-102-2020-256-8:APA102_5050,280.0,200.0,0.0,F.Cu
LED176,LED_APA-102-2020-256-8:APA102_5050,300.0,200.0,0.0,F.Cu
LED177,LED_APA-102-2020-256-8:APA102_5050,0.0,220.0,0.0,F.Cu
LED178,LED_APA-102-2020-256-8:APA102_5050,20.0,220.0,0.0,F.Cu
LED179,LED_APA-102-2020-256-8:APA102_5050,40.0,220.0,0.0,F.Cu
LED180,LED_APA-102-2020-256-8:APA102_5050,60.0,220.0,0.0,F.Cu
LED181,LED_APA-102-2020-256-8:APA102_5050,80.0,220.0,0.0,F.Cu
LED182,LED_APA-102-2020-256-8:APA102_5050,100.0,220.0,0.0,F.Cu
LED183,LED_APA-102-2020-256-8:APA102_5050,120.0,220.0,0.0,F.Cu
LED184,LED_APA-102-2020-256-8:APA102_5050,140.0,220.0,0.0,F.Cu
LED185,LED_APA-102-2020-256-8:APA102_5050,160.0,220.0,0.0,F.Cu
LED186,LED_APA-102-2020-256-8:APA102_5050,180.0,220.0,0.0,F.Cu
LED187,LED_APA-102-2020-256-8:APA102_5050,200.0,220.0,0.0,F.Cu
LED188,LED_APA-102-2020-256-8:APA102_5050,220.0,220.0,0.0,F.Cu
LED189,LED_APA-102-2020-256-8:APA102_5050,240.0,220.0,0.0,F.Cu
LED190,LED_APA-102-2020-256-8:APA102_5050,260.0,220.0,0.0,F.Cu
LED191,LED_APA-102-2020-256-8:APA102_5050,280.0,220.0,0.0,F.Cu
LED192,LED_APA-102-2020-256-8:APA102_5050,300.0,220.0,0.0,F.Cu
LED193,LED_APA-102-2020-256-8:APA102_5050,0.0,240.0,0.0,F.Cu
LED194,LED_APA-102-2020-256-8:APA102_5050,20.0,240.0,0.0,F.Cu
LED195,LED_APA-102-2020-256-8:APA102_5050,40.0,240.0,0.0,F.Cu
LED196,LED_APA-102-2020-256-8:APA102_5050,60.0,240.0,0.0,F.Cu
LED197,LED_APA-102-2020-256-8:APA102_5050,80.0,240.0,0.0,F.Cu
LED198,LED_APA-102-2020-256-8:APA102_5050,100.0,240.0,0.0,F.Cu
LED199,LED_APA-102-2020-256-8:APA102_5050,120.0,240.0,0.0,F.Cu
LED200,LED_APA-102-2020-256-8:APA102_5050,140.0,240.0,0.0,F.Cu
LED201,LED_APA-102-2020-256-8:APA102_5050,160.0,240.0,0.0,F.Cu
