ref,footprint,x_mm,y_mm,rotation,layer
LED117,LED_APA-102-2020-256-8:APA102_5050,128.0,76.0,0.0,F.Cu
LED118,LED_APA-102-2020-256-8:APA102_5050,132.0,76.0,0.0,F.Cu
LED119,LED_APA-102-2020-256-8:APA102_5050,128.0,80.0,0.0,F.Cu
LED120,LED_APA-102-2020-256-8:APA102_5050,132.0,80.0,0.0,F.Cu
LED121,LED_APA-102-2020-256-8:APA102_5050,154.0,76.0,0.0,F.Cu
LED122,LED_APA-102-2020-256-8:APA102_5050,158.0,76.0,0.0,F.Cu
LED123,LED_APA-102-2020-256-8:APA102_5050,154.0,80.0,0.0,F.Cu
LED124,LED_APA-102-2020-256-8:APA102_5050,158.0,80.0,0.0,F.Cu
LED125,LED_APA-102-2020-256-8:APA102_5050,180.0,76.0,0.0,F.Cu
LED126,LED_APA-102-2020-256-8:APA102_5050,184.0,76.0,0.0,F.Cu
LED127,LED_APA-102-2020-256-8:APA102_5050,180.0,80.0,0.0,F.Cu
LED128,LED_APA-102-2020-256-8:APA102_5050,184.0,80.0,0.0,F.Cu
LED129,LED_APA-102-2020-256-8:APA102_5050,-2.0,102.0,0.0,F.Cu
LED130,LED_APA-102-2020-256-8:APA102_5050,2.0,102.0,0.0,F.Cu
LED131,LED_APA-102-2020-256-8:APA102_5050,-2.0,106.0,0.0,F.Cu
LED132,LED_APA-102-2020-256-8:APA102_5050,2.0,106.0,0.0,F.Cu
LED133,LED_APA-102-2020-256-8:APA102_5050,24.0,102.0,0.0,F.Cu
LED134,LED_APA-102-2020-256-8:APA102_5050,28.0,102.0,0.0,F.Cu
LED135,LED_APA-102-2020-256-8:APA102_5050,24.0,106.0,0.0,F.Cu
LED136,LED_APA-102-2020-256-8:APA102_5050,28.0,106.0,0.0,F.Cu
LED137,LED_APA-102-2020-256-8:APA102_5050,50.0,102.0,0.0,F.Cu
LED138,LED_APA-102-2020-256-8:APA102_5050,54.0,102.0,0.0,F.Cu
LED139,LED_APA-102-2020-256-8:APA102_5050,50.0,106.0,0.0,F.Cu
